Pressure,Temperature,Flowrate
40.0,290.0,2.0
70.0,290.0,2.0
40.0,350.0,2.0
70.0,350.0,2.0
40.0,290.0,4.0
70.0,290.0,4.0
40.0,350.0,4.0
70.0,350.0,4.0
55.0,320.0,3.0
55.0,320.0,3.0
28.167184270002522,320.0,3.0
81.83281572999748,320.0,3.0
55.0,266.3343685400051,3.0
55.0,373.6656314599949,3.0
55.0,320.0,1.2111456180001683
55.0,320.0,4.7888543819998315
55.0,320.0,3.0
55.0,320.0,3.0
