Screen,pH,Speed,Response
1,3,20,-1.47
1,3,60,2.99
1,3,100,0.43
1,6,20,-4.22
1,6,60,4.68
1,6,100,0.59
1,9,20,-5.36
1,9,60,7.56
1,9,100,0.82
2,3,60,2.47
2,3,60,2.65
2,4,60,4.55
2,4,60,3.07
2,5,60,5.06
2,5,60,5.05
2,6,60,5.93
2,6,60,4.8
2,7,60,7.44
2,7,60,5.59
2,8,60,8.95
2,8,60,8.9
2,9,60,8.87
2,9,60,9.01
3,4,60,4.58
3,5,60,3.88
3,6,60,5.81
3,7,60,7.91
3,8,60,7.15
