Screen,pH,Speed,Response
1,3,20,13.18
1,3,60,33.44
1,3,100,61.94
1,6,20,21.43
1,6,60,57.72
1,6,100,84.72
1,9,20,16.01
1,9,60,71.13
1,9,100,74.67

